uid_src,uid_dst,lng_src,lat_src,lng_dst,lat_dst,distance_in_meter
637312124013983458,637312124012172226,104.24995,30.579034,104.256027,30.57325,1132
637312124012172226,637312124013983458,104.256027,30.57325,104.24995,30.579034,1132
637312124017111976,637312124015504385,104.29395,30.581919,104.28636,30.579254,1138
637312124015504385,637312124017111976,104.28636,30.579254,104.29395,30.581919,1138
637312124015047543,637312124013977630,104.242811,30.580906,104.241889,30.577479,1139
637312124013977630,637312124015047543,104.241889,30.577479,104.242811,30.580906,1139
637312124017080467,637276942189070334,104.27649,30.574787,104.28005,30.56667,1145
637276942189070334,637312124017080467,104.28005,30.56667,104.27649,30.574787,1145
637312124015176079,637312124013928414,104.198858,30.580431,104.192178,30.58632,1146
637312124013928414,637312124015176079,104.192178,30.58632,104.198858,30.580431,1146
637312124016983462,637276942181099327,104.261894,30.57739,104.259674,30.570957,1160
637276942181099327,637312124016983462,104.259674,30.570957,104.261894,30.57739,1160
637312124014936103,637312124012131469,104.241501,30.567533,104.234548,30.570499,1165
637312124012131469,637312124014936103,104.234548,30.570499,104.241501,30.567533,1165
637312124016983462,637312124012172226,104.261894,30.57739,104.256027,30.57325,1171
637312124012172226,637312124016983462,104.256027,30.57325,104.261894,30.57739,1171
637312124015594897,637312124012105895,104.202774,30.571428,104.204528,30.569901,1172
637312124012105895,637312124015594897,104.204528,30.569901,104.202774,30.571428,1172
637312124014974809,637312124012144235,104.194696,30.569851,104.200387,30.572607,1181
637312124012144235,637312124014974809,104.200387,30.572607,104.194696,30.569851,1181
637312124017011153,637312124013510502,104.260292,30.576493,104.268643,30.571744,1186
637312124013510502,637312124017011153,104.268643,30.571744,104.260292,30.576493,1186
637312124016864705,637312124015795950,104.184998,30.575947,104.185181,30.580229,1190
637312124015795950,637312124016864705,104.185181,30.580229,104.184998,30.575947,1190
637312124014930972,637276942181099327,104.258754,30.568776,104.259674,30.570957,1192
637276942181099327,637312124014930972,104.259674,30.570957,104.258754,30.568776,1192
637312124013951707,637312124012131469,104.23534,30.576923,104.234548,30.570499,1194
637312124012131469,637312124013951707,104.234548,30.570499,104.23534,30.576923,1194
637312124013472282,637312124012131469,104.239014,30.577832,104.234548,30.570499,1196
637312124012131469,637312124013472282,104.234548,30.570499,104.239014,30.577832,1196
637312124015860410,637312124013983458,104.258918,30.57548,104.24995,30.579034,1201
637312124013983458,637312124015860410,104.24995,30.579034,104.258918,30.57548,1201
637312124013045001,637276942188411153,104.269845,30.548347,104.262245,30.546041,1204
637276942188411153,637312124013045001,104.262245,30.546041,104.269845,30.548347,1204
637312124015722555,637312124015647081,104.199242,30.572729,104.194904,30.571829,1205
637312124015647081,637312124015722555,104.194904,30.571829,104.199242,30.572729,1205
637312124015648969,637276942188411153,104.26922,30.553812,104.262245,30.546041,1206
637276942188411153,637312124015648969,104.262245,30.546041,104.26922,30.553812,1206
